Batch 3 - 10 assets
==================================================

Assets/GoonzuGame/Characters/dwarf_female_druid.png: female dwarf druid, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/halfling_male_ranger.png: male halfling ranger, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/half-elf_female_mage.png: female half-elf mage, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/elf_female_monk.png: female elf monk, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/tiefling_female_paladin.png: female tiefling paladin, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/gnome_female_paladin.png: female gnome paladin, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/tiefling_male_monk.png: male tiefling monk, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/gnome_male_monk.png: male gnome monk, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/tiefling_male_mage.png: male tiefling mage, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/tiefling_female_druid.png: female tiefling druid, medieval fantasy character, detailed armor and clothing, heroic pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

