Batch 29 - 10 assets
==================================================

Assets/GoonzuGame/Characters/NPCs/priest_male.png: male medieval priest NPC, detailed clothing and accessories, friendly pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/NPCs/innkeeper_male.png: male medieval innkeeper NPC, detailed clothing and accessories, friendly pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/NPCs/beggar_female.png: female medieval beggar NPC, detailed clothing and accessories, friendly pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/NPCs/merchant_male.png: male medieval merchant NPC, detailed clothing and accessories, friendly pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Characters/NPCs/noble_female.png: female medieval noble NPC, detailed clothing and accessories, friendly pose, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/longsword.png: medieval fantasy longsword, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/scythe.png: medieval fantasy scythe, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/bow.png: medieval fantasy bow, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/mace.png: medieval fantasy mace, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/katana.png: medieval fantasy katana, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

