Batch 30 - 10 assets
==================================================

Assets/GoonzuGame/Items/Weapons/longbow.png: medieval fantasy longbow, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/rapier.png: medieval fantasy rapier, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/broadsword.png: medieval fantasy broadsword, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/warhammer.png: medieval fantasy warhammer, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/sling.png: medieval fantasy sling, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/whip.png: medieval fantasy whip, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/dagger.png: medieval fantasy dagger, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/spear.png: medieval fantasy spear, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/halberd.png: medieval fantasy halberd, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Weapons/morningstar.png: medieval fantasy morningstar, ornate design with gemstones, detailed metalwork, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

