Batch 32 - 10 assets
==================================================

Assets/GoonzuGame/Items/Materials/adamantite_ore.png: medieval fantasy adamantite ore, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Materials/crystal.png: medieval fantasy crystal, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Materials/iron_ore.png: medieval fantasy iron ore, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Materials/mithril_ore.png: medieval fantasy mithril ore, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Materials/bone.png: medieval fantasy bone, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Materials/gemstone.png: medieval fantasy gemstone, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Materials/leather_hide.png: medieval fantasy leather hide, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Materials/cloth_bolt.png: medieval fantasy cloth bolt, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Materials/wood_log.png: medieval fantasy wood log, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

Assets/GoonzuGame/Items/Materials/gold_ore.png: medieval fantasy gold ore, raw material resource, detailed texture, anime-inspired fantasy MMORPG style, bright colors, clean outlines, soft shading, hand-painted look, game-ready asset, transparent background

